S.no.,Year,State,TFR,Pop,PR,Birth,BR
321,2050,tripura,1.24,4384801,-0.012702287,131436,-0.066009313
322,2050,uttar pradesh,1.88,303005905,0.021467288,20547963,-0.049637767
323,2050,uttarakhand,1.84,15108206,0.027542119,853379,-0.02956834
324,2050,west bengal,1.54,109234640,-0.006430826,4842395,-0.038370889
325,2055,andaman & nicobar islands,1.7,655766,0.023605981,30741,0.004846947
326,2055,andhra pradesh,1.78,103903812,-0.00452917,4948715,-0.022589501
327,2055,arunachal pradesh,1.48,2450994,0.024053914,107985,-0.025827661
328,2055,assam,1.94,45039295,0.010652254,2799754,-0.016226068
329,2055,bihar,1.92,164072366,0.019709065,10854086,-0.043225657
330,2055,chandigarh,1.53,2431392,0.041813496,112530,0.003856749
331,2055,chhattisgarh,1.94,36763285,0.011397703,2320522,-0.022342818
332,2055,dadra & nagar haveli,1.75,986910,0.052400928,46786,-0.001261061
333,2055,daman & diu,1.76,771668,0.056822364,29334,0.016601895
334,2055,goa,1.42,2297065,0.019052574,84257,-0.00337064
335,2055,gujarat,1.76,87960698,0.009732131,4469726,-0.019127571
336,2055,haryana,1.83,43088840,0.026944471,2348446,-0.004875565
337,2055,himachal pradesh,1.79,9183099,0.006414392,438507,-0.01617534
339,2055,jammu & kashmir,1.62,16669023,0.001395583,739031,-0.023594409
340,2055,jharkhand,1.84,49612585,0.01441213,2985167,-0.035302213
341,2055,karnataka,1.8,79197442,0.000974413,3953615,-0.018349536
342,2055,kerala,1.7,36302500,-0.018592163,1646375,-0.04396143
343,2055,lakshadweep,1.38,119821,0.027657923,3954,-0.00657562
344,2055,madhya pradesh,1.89,113143743,0.017728784,7061126,-0.023823537
345,2055,maharashtra,1.74,166681991,0.014874834,7900849,-0.008549967
346,2055,manipur,1.33,3128562,-0.025808343,93351,-0.075114353
347,2055,meghalaya,1.7,4572752,0.014051057,246708,-0.019662921
348,2055,mizoram,1.27,1269354,-0.015011573,39047,-0.060568033
349,2055,nagaland,1.36,2493144,-0.009887114,82561,-0.059870883
350,2055,nct of delhi,1.57,36881533,0.046152067,1741254,0.002615357
351,2055,odisha,1.88,53879411,0.003656072,3094353,-0.023465002
352,2055,puducherry,1.67,2010886,0.017197395,96991,-0.006815065
353,2055,punjab,1.73,38540869,0.010826144,1746655,-0.011895881
354,2055,rajasthan,1.91,109517974,0.018815313,6692301,-0.026237911
355,2055,sikkim,1.47,905947,0.007551214,34729,-0.038958795
356,2055,tamil nadu,1.81,82966587,-0.010682831,4086691,-0.020515131
357,2055,tripura,1.25,4329104,-0.021090738,122760,-0.078242098
358,2055,uttar pradesh,1.86,309510620,0.014372731,19528008,-0.052374415
359,2055,uttarakhand,1.84,15524318,0.020801171,828146,-0.029710945
360,2055,west bengal,1.57,108532171,-0.012127455,4656588,-0.039029865
361,2060,andaman & nicobar islands,1.73,671246,0.017211276,30890,0.011362901
362,2060,andhra pradesh,1.8,103433214,-0.009852125,4836926,-0.014236108
363,2060,arunachal pradesh,1.5,2509950,0.016526226,105196,-0.033280733
364,2060,assam,1.96,45519065,0.006219504,2754325,-0.009883002
365,2060,bihar,1.92,167306079,0.013205557,10384911,-0.040833282
366,2060,chandigarh,1.55,2533057,0.034178465,112964,0.013694628
367,2060,chhattisgarh,1.94,37182302,0.006955567,2268675,-0.01349422
368,2060,dadra & nagar haveli,1.75,1038625,0.042494644,46727,0.00261091
369,2060,daman & diu,1.76,815516,0.045907131,29821,0.019482915
370,2060,goa,1.44,2340830,0.012918495,83973,-0.000416801
371,2060,gujarat,1.77,88816743,0.004583483,4384231,-0.009485586
372,2060,haryana,1.83,44249846,0.02085483,2336996,0.004875918
373,2060,himachal pradesh,1.82,9242003,0.001497619,431414,-0.014056104
375,2060,jammu & kashmir,1.64,16692286,-0.004346619,721594,-0.04435181
376,2060,jharkhand,1.83,50327608,0.008501755,2879784,-0.033261175
377,2060,karnataka,1.82,79274613,-0.004020177,3881068,-0.010509994
378,2060,kerala,1.7,35627558,-0.022184877,1573998,-0.037956211
379,2060,lakshadweep,1.39,123135,0.020465343,3928,-0.008910387
380,2060,madhya pradesh,1.89,115149644,0.012375496,6892905,-0.010277234
381,2060,maharashtra,1.76,169161358,0.00944484,7833297,-0.002973844
382,2060,manipur,1.35,3047819,-0.033843545,86339,-0.080797785
383,2060,meghalaya,1.72,4637004,0.007726972,241857,-0.041309534
384,2060,mizoram,1.29,1250299,-0.021554044,36682,-0.087154463
385,2060,nagaland,1.38,2468494,-0.017729028,77618,-0.078924992
386,2060,nct of delhi,1.59,38583692,0.038282003,1745808,0.010979443
387,2060,odisha,1.9,54076398,-0.000720222,3021744,-0.014327488
388,2060,puducherry,1.68,2045468,0.011870633,96330,-0.000145334
389,2060,punjab,1.74,38958118,0.005355418,1725877,-0.002722674
390,2060,rajasthan,1.9,111578589,0.01298189,6516709,-0.011068624
391,2060,sikkim,1.49,912788,-0.000360434,33376,-0.025107862
392,2060,tamil nadu,1.82,82080269,-0.0143366,4002852,-0.016663119
393,2060,tripura,1.27,4237800,-0.029479683,113155,-0.073624674
394,2060,uttar pradesh,1.84,313959133,0.007418141,18505240,-0.036203637
395,2060,uttarakhand,1.84,15847242,0.014418534,803541,-0.014571752
396,2060,west bengal,1.59,107215952,-0.017381061,4474842,-0.030346323
397,2065,andaman & nicobar islands,1.76,682799,0.012393105,31241,0.013411863
398,2065,andhra pradesh,1.82,102414177,-0.013796234,4768067,-0.009816137
399,2065,arunachal pradesh,1.52,2551430,0.009384541,101695,-0.021869315
400,2065,assam,1.99,45802171,0.002775436,2727104,-0.00360419
401,2065,bihar,1.91,169515449,0.007417696,9960861,-0.023926747
402,2065,chandigarh,1.57,2619633,0.028092103,114511,0.024216014
403,2065,chhattisgarh,1.94,37440926,0.00353613,2238061,-0.013002327
404,2065,dadra & nagar haveli,1.76,1082761,0.033980722,46849,0.005208222
405,2065,daman & diu,1.76,852954,0.03655414,30402,0.017202816
406,2065,goa,1.46,2371070,0.007978676,83938,0.004360361
407,2065,gujarat,1.78,89223833,0.000568436,4342644,-0.007984076
408,2065,haryana,1.83,45172669,0.016021967,2348391,0.002972248
409,2065,himachal pradesh,1.82,9255844,-0.002582152,425350,-0.010210415
411,2065,jammu & kashmir,1.66,16619731,-0.010417076,689590,-0.047848722
412,2065,jharkhand,1.83,50755481,0.003208225,2783999,-0.024017968
413,2065,karnataka,1.83,78955915,-0.007707276,3840278,-0.010240925
414,2065,kerala,1.7,34837165,-0.024624937,1514255,-0.038415591
415,2065,lakshadweep,1.41,125655,0.01370419,3893,-0.006678654
416,2065,madhya pradesh,1.89,116574678,0.008331887,6822065,-0.007534082
417,2065,maharashtra,1.78,170759060,0.00501174,7810002,-0.002976312
418,2065,manipur,1.38,2944670,-0.041869547,79363,-0.068923806
419,2065,meghalaya,1.74,4672834,0.000646717,231866,-0.038940595
420,2065,mizoram,1.3,1223350,-0.028690072,33485,-0.092548902
421,2065,nagaland,1.4,2424730,-0.026025991,71492,-0.073364852
422,2065,nct of delhi,1.61,40060753,0.031926983,1764976,0.024553875
423,2065,odisha,1.91,54037451,-0.003933642,2978450,-0.009259514
424,2065,puducherry,1.69,2069749,0.007764226,96316,-0.001142074
425,2065,punjab,1.76,39166755,0.001066644,1721178,0.001139336
426,2065,rajasthan,1.9,113027090,0.008529017,6444578,-0.007521361
427,2065,sikkim,1.52,912459,-0.00719046,32538,-0.008820456
428,2065,tamil nadu,1.82,80903517,-0.016691981,3936152,-0.02299149
429,2065,tripura,1.29,4112871,-0.037057569,104824,-0.064298252
430,2065,uttar pradesh,1.83,316288126,0.001844827,17835283,-0.019743954
431,2065,uttarakhand,1.84,16075736,0.009327473,791832,-0.005046525
432,2065,west bengal,1.61,105352425,-0.021678694,4339047,-0.02435627
433,2070,andaman & nicobar islands,1.78,691261,0.008384677,31660,0.011749842
434,2070,andhra pradesh,1.83,101001247,-0.016851891,4721263,-0.017294313
435,2070,arunachal pradesh,1.53,2575374,0.003084601,99471,-0.00572026
436,2070,assam,2.01,45929292,0.000119989,2717275,-0.00827373
437,2070,bihar,1.9,170772863,0.002841353,9722530,-0.01587848
438,2070,chandigarh,1.59,2693224,0.022726294,117284,0.023217148
439,2070,chhattisgarh,1.94,37573322,0.000468604,2208961,-0.017680711
440,2070,dadra & nagar haveli,1.76,1119554,0.026363177,47093,0.003376298
441,2070,daman & diu,1.75,884133,0.028045554,30925,0.011382377
442,2070,goa,1.48,2389988,0.003885375,84304,0.005456443
443,2070,gujarat,1.79,89274551,-0.002859706,4307972,-0.013570887
444,2070,haryana,1.83,45896424,0.011660342,2355371,-0.004224388
445,2070,himachal pradesh,1.83,9231944,-0.005966999,421007,-0.011800279
447,2070,jammu & kashmir,1.67,16446602,-0.016392018,656594,-0.033481878
448,2070,jharkhand,1.84,50918316,-0.001300789,2717133,-0.01714859
449,2070,karnataka,1.84,78347380,-0.010697869,3800950,-0.015130165
450,2070,kerala,1.7,33979302,-0.026709613,1456084,-0.043459031
451,2070,lakshadweep,1.42,127377,0.007960621,3867,0.000775795
452,2070,madhya pradesh,1.9,117545965,0.004795154,6770667,-0.015084038
453,2070,maharashtra,1.79,171614860,0.001108604,7786757,-0.008424175
454,2070,manipur,1.4,2821378,-0.049700891,73893,-0.060249279
455,2070,meghalaya,1.75,4675856,-0.006027132,222837,-0.022765519
456,2070,mizoram,1.31,1188252,-0.036375281,30386,-0.07361943
457,2070,nagaland,1.42,2361624,-0.034131174,66247,-0.050764563
458,2070,nct of delhi,1.63,41339772,0.026620007,1808313,0.02721708
459,2070,odisha,1.91,53824887,-0.006392842,2950871,-0.011378674
460,2070,puducherry,1.69,2085819,0.004494637,96206,-0.007463152
461,2070,punjab,1.77,39208532,-0.002677198,1723139,-0.002241839
462,2070,rajasthan,1.9,113991100,0.004615966,6396106,-0.017199371
463,2070,sikkim,1.54,905898,-0.012984906,32251,-0.003689808
464,2070,tamil nadu,1.82,79553077,-0.018625326,3845654,-0.030258572
465,2070,tripura,1.31,3960458,-0.044219886,98084,-0.05503446
466,2070,uttar pradesh,1.83,316871623,-0.002535528,17483144,-0.017034236
467,2070,uttarakhand,1.84,16225682,0.00486451,787836,-0.00960606
468,2070,west bengal,1.63,103068522,-0.025271227,4233364,-0.024410138
469,2075,andaman & nicobar islands,1.79,697057,0.005656639,32032,0.009178322
470,2075,andhra pradesh,1.84,99299185,-0.018945795,4639612,-0.022569129
471,2075,arunachal pradesh,1.55,2583318,-0.001899495,98902,0.002376089
472,2075,assam,2.02,45934803,-0.002150896,2694793,-0.009811885
473,2075,bihar,1.9,171258089,-0.001074256,9568151,-0.022513232
474,2075,chandigarh,1.61,2754431,0.018014973,120007,0.015274109
475,2075,chhattisgarh,1.94,37590929,-0.002416833,2169905,-0.021526749
476,2075,dadra & nagar haveli,1.76,1149069,0.019699426,47252,-0.003026327
477,2075,daman & diu,1.75,908929,0.020528556,31277,0.005659111
478,2075,goa,1.5,2399274,0.000993634,84764,0.00539144
479,2075,gujarat,1.8,89019252,-0.00591599,4249509,-0.018372946
480,2075,haryana,1.83,46431592,0.007691143,2345421,-0.009955569
481,2075,himachal pradesh,1.83,9176857,-0.008633021,416039,-0.014640454
483,2075,jammu & kashmir,1.69,16177009,-0.021299673,634610,-0.016547171
484,2075,jharkhand,1.84,50852082,-0.005031711,2670538,-0.019417436
485,2075,karnataka,1.84,77509230,-0.012655667,3743441,-0.01927291
486,2075,kerala,1.71,33071728,-0.028364529,1392804,-0.045883699
487,2075,lakshadweep,1.44,128391,0.003084328,3870,0.002583979
488,2075,madhya pradesh,1.9,118109616,0.001304195,6668538,-0.024390953
489,2075,maharashtra,1.79,171805113,-0.002263512,7721160,-0.010274363
490,2075,manipur,1.42,2681153,-0.056877396,69441,-0.052721015
491,2075,meghalaya,1.77,4647674,-0.011302643,217764,-0.008646976
492,2075,mizoram,1.33,1145029,-0.043284493,28149,-0.048385378
493,2075,nagaland,1.44,2281019,-0.041298648,62884,-0.032138541
494,2075,nct of delhi,1.65,42440237,0.02204097,1857530,0.020140725
495,2075,odisha,1.92,53480793,-0.008294211,2917294,-0.016027867
496,2075,puducherry,1.69,2095194,0.002101953,95488,-0.012127178
497,2075,punjab,1.77,39103563,-0.005895703,1719276,-0.006764475
498,2075,rajasthan,1.9,114517279,0.000649264,6286097,-0.025514719
499,2075,sikkim,1.57,894135,-0.01756558,32132,-0.007780406
500,2075,tamil nadu,1.82,78071375,-0.019734531,3729290,-0.031153383
501,2075,tripura,1.32,3785327,-0.05034783,92686,-0.050266491
502,2075,uttar pradesh,1.83,316068186,-0.006261889,17185332,-0.025225931
503,2075,uttarakhand,1.84,16304612,0.000679501,780268,-0.020308407
504,2075,west bengal,1.65,100463854,-0.028013867,4130027,-0.023348516
505,2080,andaman & nicobar islands,1.8,701000,0.003627675,32326,0.006465384
506,2080,andhra pradesh,1.85,97417883,-0.020586703,4534900,-0.021940947
507,2080,arunachal pradesh,1.57,2578411,-0.006236011,99137,0.000221915
508,2080,assam,2.03,45836002,-0.004109106,2668352,-0.009989687
509,2080,bihar,1.89,171074114,-0.005343181,9352741,-0.032744625
510,2080,chandigarh,1.62,2804052,0.01355574,121840,0.007953053
511,2080,chhattisgarh,1.95,37500078,-0.005065563,2123194,-0.021815246
512,2080,dadra & nagar haveli,1.75,1171705,0.013849902,47109,-0.006835212
513,2080,daman & diu,1.75,927588,0.014076292,31454,0.00362434
514,2080,goa,1.52,2401658,-0.001289942,85221,0.004775818
515,2080,gujarat,1.81,88492615,-0.008495895,4171433,-0.018260392
516,2080,haryana,1.83,46788704,0.004204134,2322071,-0.009527271
517,2080,himachal pradesh,1.83,9097633,-0.010689374,409948,-0.014843346
519,2080,jammu & kashmir,1.71,15832444,-0.025282262,624109,-0.010520598
520,2080,jharkhand,1.85,50596209,-0.008527754,2618683,-0.026662257
521,2080,karnataka,1.85,76528299,-0.013991805,3671294,-0.018865828
522,2080,kerala,1.71,32133664,-0.030023498,1328897,-0.044172724
523,2080,lakshadweep,1.46,128787,-0.000644475,3880,0.00257732
524,2080,madhya pradesh,1.89,118263654,-0.002197421,6505886,-0.024254959
525,2080,maharashtra,1.8,171416230,-0.004990321,7641830,-0.009541694
526,2080,manipur,1.44,2528656,-0.063505673,65780,-0.05110976
527,2080,meghalaya,1.77,4595143,-0.015142075,215881,-0.005725376
528,2080,mizoram,1.34,1095467,-0.048693388,26787,-0.038787472
529,2080,nagaland,1.46,2186816,-0.04731811,60863,-0.029361024
530,2080,nct of delhi,1.67,43375661,0.017522961,1894942,0.008269382
531,2080,odisha,1.92,53037212,-0.009925541,2870536,-0.017590791
532,2080,puducherry,1.69,2099598,0.00019337,94330,-0.012636489
533,2080,punjab,1.78,38873020,-0.008500857,1707646,-0.010468212
534,2080,rajasthan,1.89,114591631,-0.00323775,6125709,-0.025806972
535,2080,sikkim,1.59,878429,-0.021108137,31882,-0.012828555
536,2080,tamil nadu,1.81,76530673,-0.020354832,3613110,-0.026520089
537,2080,tripura,1.35,3594744,-0.056402626,88027,-0.050200507
538,2080,uttar pradesh,1.84,314089002,-0.00991235,16751816,-0.032243609
539,2080,uttarakhand,1.83,16315691,-0.003739774,764422,-0.025402199
540,2080,west bengal,1.67,97649473,-0.03000263,4033597,-0.022663642
541,2085,andaman & nicobar islands,1.81,703543,0.003028955,32535,0.006761949
542,2085,andhra pradesh,1.86,95412370,-0.020629537,4435400,-0.017491996
543,2085,arunachal pradesh,1.59,2562332,-0.009417203,99159,-0.005173509
544,2085,assam,2.04,45647657,-0.005414517,2641696,-0.008220098
545,2085,bihar,1.89,170160034,-0.009893075,9046489,-0.035635482
546,2085,chandigarh,1.64,2842063,0.010099354,122809,0.00719817
547,2085,chhattisgarh,1.95,37310119,-0.007110484,2076876,-0.019752263
548,2085,dadra & nagar haveli,1.75,1187933,0.009419723,46787,-0.006283797
549,2085,daman & diu,1.75,940645,0.009709295,31568,0.004561581
550,2085,goa,1.54,2398560,-0.002348909,85628,0.005955996
551,2085,gujarat,1.82,87740791,-0.010223363,4095261,-0.015720121
552,2085,haryana,1.83,46985410,0.001861131,2299948,-0.006474059
553,2085,himachal pradesh,1.84,9000385,-0.011757941,403863,-0.014960519
555,2085,jammu & kashmir,1.73,15432164,-0.028060161,617543,-0.01582238
556,2085,jharkhand,1.84,50164737,-0.011704816,2548863,-0.03053793
557,2085,karnataka,1.85,75457530,-0.01402528,3602032,-0.014957668
558,2085,kerala,1.71,31168899,-0.031043637,1270196,-0.040591373
559,2085,lakshadweep,1.48,128704,-0.003263302,3890,0.000257069
560,2085,madhya pradesh,1.89,118003779,-0.005036245,6348086,-0.018685632
561,2085,maharashtra,1.8,170560808,-0.006450474,7568914,-0.007085429
562,2085,manipur,1.46,2368072,-0.067777078,62418,-0.054359319
563,2085,meghalaya,1.78,4525563,-0.017397614,214645,-0.014069743
564,2085,mizoram,1.35,1042125,-0.052617488,25748,-0.044624825
565,2085,nagaland,1.48,2083340,-0.051662235,59076,-0.037511003
566,2085,nct of delhi,1.68,44135731,0.013635551,1910612,0.004398067
567,2085,odisha,1.93,52510789,-0.010837906,2820041,-0.015126021
568,2085,puducherry,1.69,2100004,-0.000728094,93138,-0.009824132
569,2085,punjab,1.78,38542566,-0.009727712,1689770,-0.00891068
570,2085,rajasthan,1.89,114220612,-0.006418675,5967623,-0.01985179
571,2085,sikkim,1.62,859887,-0.02264251,31473,-0.013281225
572,2085,tamil nadu,1.81,74972904,-0.019714189,3517290,-0.022568796
573,2085,tripura,1.37,3391991,-0.060839489,83608,-0.050318151
574,2085,uttar pradesh,1.85,310975642,-0.013167375,16211677,-0.031533999
575,2085,uttarakhand,1.83,16254674,-0.007451518,745004,-0.021905923
576,2085,west bengal,1.69,94719732,-0.030611995,3942181,-0.022274726
577,2090,andaman & nicobar islands,1.82,705674,0.003084994,32755,0.006594413
578,2090,andhra pradesh,1.86,93444057,-0.019347769,4357816,-0.013290144
579,2090,arunachal pradesh,1.62,2538202,-0.011642493,98646,-0.007055532
580,2090,assam,2.05,45400497,-0.006098325,2619981,-0.005649278
581,2090,bihar,1.89,168476628,-0.01385185,8724113,-0.030152865
582,2090,chandigarh,1.66,2870766,0.00807241,123693,0.011463866
583,2090,chhattisgarh,1.94,37044826,-0.0083677,2035853,-0.016816047
584,2090,dadra & nagar haveli,1.75,1199123,0.006593986,46493,-0.004086637
585,2090,daman & diu,1.75,949778,0.007436475,31712,0.005644551
586,2090,goa,1.56,2392926,-0.002267517,86138,0.008637303
587,2090,gujarat,1.82,86843785,-0.010938964,4030883,-0.011567937
588,2090,haryana,1.83,47072856,0.000833007,2285058,-0.004174949
589,2090,himachal pradesh,1.84,8894559,-0.01166747,397821,-0.010944621
591,2090,jammu & kashmir,1.75,14999135,-0.029812052,607772,-0.0249485
592,2090,jharkhand,1.84,49577568,-0.014214897,2471026,-0.028324267
593,2090,karnataka,1.86,74399217,-0.013145273,3548154,-0.011649438
594,2090,kerala,1.71,30201303,-0.031456093,1218637,-0.039160144
595,2090,lakshadweep,1.49,128284,-0.004770665,3891,0.003341043
596,2090,madhya pradesh,1.89,117409483,-0.006822354,6229468,-0.014444091
597,2090,maharashtra,1.81,169460610,-0.006492441,7515285,-0.005173856
598,2090,manipur,1.48,2207571,-0.070260934,59025,-0.055298602
599,2090,meghalaya,1.79,4446829,-0.018485532,211625,-0.021712936
600,2090,mizoram,1.37,987291,-0.054767034,24599,-0.054392455
601,2090,nagaland,1.5,1975710,-0.053829256,56860,-0.043739008
602,2090,nct of delhi,1.69,44737546,0.010843711,1919015,0.008610667
603,2090,odisha,1.93,51941682,-0.010896528,2777385,-0.011646207
604,2090,puducherry,1.69,2098475,-0.001184193,92223,-0.007785477
605,2090,punjab,1.78,38167635,-0.009212648,1674713,-0.005161481
606,2090,rajasthan,1.89,113487467,-0.008349565,5849155,-0.015198948
607,2090,sikkim,1.64,840417,-0.022255618,31055,-0.007824827
608,2090,tamil nadu,1.81,73494874,-0.018679412,3437909,-0.02309078
609,2090,tripura,1.39,3185624,-0.062684108,79401,-0.047719802
610,2090,uttar pradesh,1.86,306880909,-0.015609847,15700458,-0.024595588
611,2090,uttarakhand,1.83,16133552,-0.009612638,728684,-0.01572012
612,2090,west bengal,1.71,91820172,-0.029876572,3854370,-0.020698065
613,2095,andaman & nicobar islands,1.83,707851,0,32971,0
614,2095,andhra pradesh,1.87,91636123,0,4299900,0
615,2095,arunachal pradesh,1.64,2508651,0,97950,0
616,2095,assam,2.05,45123630,0,2605180,0
617,2095,bihar,1.88,166142915,0,8461056,0
618,2095,chandigarh,1.68,2893940,0,125111,0
619,2095,chhattisgarh,1.94,36734846,0,2001618,0
620,2095,dadra & nagar haveli,1.75,1207030,0,46303,0
621,2095,daman & diu,1.75,956841,0,31891,0
622,2095,goa,1.58,2387500,0,86882,0
623,2095,gujarat,1.82,85893804,0,3984254,0
624,2095,haryana,1.83,47112068,0,2275518,0
625,2095,himachal pradesh,1.84,8790782,0,393467,0
627,2095,jammu & kashmir,1.77,14551980,0,592609,0
628,2095,jharkhand,1.84,48872828,0,2401036,0
629,2095,karnataka,1.86,73421219,0,3506820,0
630,2095,kerala,1.71,29251288,0,1170915,0
631,2095,lakshadweep,1.52,127672,0,3904,0
632,2095,madhya pradesh,1.88,116608474,0,6139489,0
633,2095,maharashtra,1.81,168360397,0,7476402,0
634,2095,manipur,1.51,2052465,0,55761,0
635,2095,meghalaya,1.8,4364627,0,207030,0
636,2095,mizoram,1.39,933220,0,23261,0
637,2095,nagaland,1.53,1869359,0,54373,0
638,2095,nct of delhi,1.71,45222667,0,1935539,0
639,2095,odisha,1.94,51375698,0,2745039,0
640,2095,puducherry,1.69,2095990,0,91505,0
641,2095,punjab,1.79,37816010,0,1666069,0
642,2095,rajasthan,1.89,112539896,0,5760254,0
643,2095,sikkim,1.66,821713,0,30812,0
644,2095,tamil nadu,1.81,72122033,0,3358525,0
645,2095,tripura,1.41,2985936,0,75612,0
646,2095,uttar pradesh,1.87,302090545,0,15314296,0
647,2095,uttarakhand,1.83,15978466,0,717229,0
648,2095,west bengal,1.72,89076900,0,3774592,0